id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,13292159,0.0,0.0,3991.0,5458.0,3187.5,1218.75,0.9942898750305176,0.9694962501525879,0.0,0.0,4000.0,6000.0
1,695754,0.0,4938.0,1634.0,501.0,1187.5,5343.75,0.9868257641792297,0.9818697571754456,0.0,0.0,4000.0,6000.0
2,141449,2107.0,168.0,374.0,387.0,2437.5,468.75,0.9864646196365356,0.9846689105033875,0.0,0.0,4000.0,6000.0
3,224978,3249.0,4886.0,566.0,504.0,3812.5,5156.25,0.985996425151825,0.9849792122840881,0.0,0.0,4000.0,6000.0
4,139670,1640.0,173.0,369.0,388.0,1687.5,468.75,0.9858653545379639,0.9857292175292969,0.0,0.0,4000.0,6000.0
5,135723,2097.0,1125.0,367.0,375.0,2437.5,1406.25,0.9858089089393616,0.9877141714096069,0.0,0.0,4000.0,6000.0
6,6677901,48.0,69.0,3143.0,2200.0,2062.5,2156.25,0.9858009219169617,0.9694019556045532,0.0,0.0,4000.0,6000.0
7,143491,2577.0,163.0,381.0,462.0,2937.5,468.75,0.9856154918670654,0.9853402376174927,0.0,0.0,4000.0,6000.0
8,54254,1411.0,3265.0,293.0,233.0,1562.5,3468.75,0.985493004322052,0.9835304617881775,0.0,0.0,4000.0,6000.0
9,125517,284.0,1147.0,348.0,370.0,562.5,1406.25,0.9854171872138977,0.9837228655815125,0.0,0.0,4000.0,6000.0
10,134735,1630.0,1593.0,363.0,377.0,1937.5,1781.25,0.9850620031356812,0.9853050708770752,0.0,0.0,4000.0,6000.0
11,138754,1177.0,182.0,363.0,468.0,1187.5,468.75,0.985031008720398,0.9874966740608215,0.0,0.0,4000.0,6000.0
12,141769,2106.0,169.0,839.0,459.0,2312.5,468.75,0.9847241640090942,0.9841347336769104,0.0,0.0,4000.0,6000.0
13,136913,2562.0,1127.0,371.0,379.0,2812.5,1406.25,0.9845357537269592,0.986046314239502,0.0,0.0,4000.0,6000.0
14,128508,726.0,689.0,353.0,822.0,812.5,1406.25,0.9845074415206909,0.9795280694961548,0.0,0.0,4000.0,6000.0
15,132214,1176.0,1593.0,356.0,439.0,1437.5,1781.25,0.984365701675415,0.9833299517631531,0.0,0.0,4000.0,6000.0
16,128216,726.0,1139.0,353.0,371.0,1062.5,1406.25,0.9843424558639526,0.9826768636703491,0.0,0.0,4000.0,6000.0
17,133752,1632.0,1127.0,366.0,374.0,1687.5,1406.25,0.9843322038650513,0.9842091798782349,0.0,0.0,4000.0,6000.0
