class,seed_count
Faba-Seed-CC_Vf257-1-1,5
Faba-Seed-CC_Vf115-1-2,10
Faba-Seed-CC_Vf575-1-1,6
Faba-Seed-CC_Vf152-1-1,10
Faba-Seed-CC_Vf16-1-1,7
Faba-Seed-CC_Vf301-3-1,10
Faba-Seed-CC_Vf447-1-1,7
Faba-Seed-CC_Vf564-3-1,10
Faba-Seed-CC_Vf58-1-1,5
Faba-Seed-CC_Vf18-1-1,10
Faba-Seed-CC_Vf137-1-2,5
Faba-Seed-CC_Vf167-1-1,10
Faba-Seed-CC_Vf446-1-1,10
Faba-Seed-CC_Vf190-1-1,7
Faba-Seed-CC_Vf189-1-1,9
Faba-Seed-CC_Vf109-1-1,2
Faba-Seed-CC_Vf289-1-1,9
Faba-Seed-CC_Vf140-1-1,7
Faba-Seed-CC_Vf38-1-2,3
Faba-Seed-CC_Vf8-1-1,9
Faba-Seed-CC_Vf443-1-1,3
Faba-Seed-CC_Vf484-1-1,3
Faba-Seed-CC_Vf509-1-1,9
Faba-Seed-CC_Vf487-1-1,5
Faba-Seed-CC_Vf402-3-1,10
Faba-Seed-CC_Vf308-1-1,10
Faba-Seed-CC_Vf366-3-1,10
Faba-Seed-CC_Vf82-1-1,10
Faba-Seed-CC_Vf7-1-1,10
Faba-Seed-CC_Vf399-1-1,8
Faba-Seed-CC_Vf573-1-1,10
Faba-Seed-CC_Vf623-1-1,5
Faba-Seed-CC_Vf544-3-1,4
Faba-Seed-CC_Vf153-1-1,10
Faba-Seed-CC_Vf550-1-1,10
Faba-Seed-CC_Vf516-1-1,7
Faba-Seed-CC_Vf276-3-1,7
Faba-Seed-CC_Vf577-2-1,10
Faba-Seed-CC_Vf240-1-1,10
Faba-Seed-CC_Vf329-3-1,7
Faba-Seed-CC_Vf407-1-1,4
Faba-Seed-CC_Vf305-3-1,10
Faba-Seed-CC_Vf514-1-1,10
Faba-Seed-CC_Vf133-3-2,10
Faba-Seed-CC_Vf96-1-2,10
Faba-Seed-CC_Vf178-1-1,11
Faba-Seed-CC_Vf529-3-2,10
Faba-Seed-CC_Vf384-1-1,4
Faba-Seed-CC_Vf23-1-1,10
Faba-Seed-CC_Vf595-1-1,10
Faba-Seed-CC_Vf320-3-1,8
Faba-Seed-CC_Vf184-1-2,4
